Neighborhood  District,Year,Fire Incidents,Other Incidents
Lone Mountain/USF,2013,30,281
Lone Mountain/USF,2012,24,261
Presidio,2016,18,235
Presidio,2017,5,78
Presidio,2003,2,12
Presidio,2006,1,23
Presidio,2007,0,41
Presidio,2004,2,9
Presidio,2005,3,19
Presidio,2015,19,240
Presidio,2014,22,225
Presidio,2008,1,23
Presidio,2009,2,30
Presidio,2011,12,111
Presidio,2010,7,70
Presidio,2013,11,171
Presidio,2012,20,151
Mission,2016,396,2242
Mission,2017,117,668
Mission,2003,326,2341
Mission,2006,255,1862
Mission,2007,226,2053
Mission,2004,337,1815
Mission,2005,222,1763
Mission,2015,361,2202
Mission,2014,248,1777
Mission,2008,242,1891
Mission,2009,222,1926
Mission,2011,263,2442
Mission,2010,244,2189
Mission,2013,279,2030
Mission,2012,286,2303
Tenderloin,2016,333,2408
Tenderloin,2017,82,901
Tenderloin,2003,293,1999
Tenderloin,2006,315,1844
Tenderloin,2007,269,2253
Tenderloin,2004,321,1851
Tenderloin,2005,329,1891
Tenderloin,2015,288,2667
Tenderloin,2014,232,2306
Tenderloin,2008,237,2239
Tenderloin,2009,225,2169
Tenderloin,2011,258,2581
Tenderloin,2010,255,2400
Tenderloin,2013,245,2644
Tenderloin,2012,259,2664
Russian Hill,2016,69,520
Russian Hill,2017,14,157
Russian Hill,2003,53,582
Russian Hill,2006,49,397
Russian Hill,2007,60,404
Russian Hill,2004,55,440
Russian Hill,2005,48,376
Russian Hill,2015,62,546
Russian Hill,2014,47,402
Russian Hill,2008,69,434
Russian Hill,2009,51,411
Russian Hill,2011,56,419
Russian Hill,2010,50,456
Russian Hill,2013,76,347
Russian Hill,2012,63,403
Outer Mission,2016,37,451
Outer Mission,2017,10,119
Outer Mission,2003,21,225
Outer Mission,2006,28,247
Outer Mission,2007,31,387
Outer Mission,2004,36,222
Outer Mission,2005,35,249
Outer Mission,2015,48,381
Outer Mission,2014,43,389
Outer Mission,2008,25,336
Outer Mission,2009,34,422
Outer Mission,2011,37,365
Outer Mission,2010,22,347
Outer Mission,2013,32,288
Outer Mission,2012,29,343
Twin Peaks,2016,16,162
Twin Peaks,2017,4,68
Twin Peaks,2003,13,123
Twin Peaks,2006,13,108
Twin Peaks,2007,19,111
Twin Peaks,2004,15,84
Twin Peaks,2005,15,99
Twin Peaks,2015,23,163
Twin Peaks,2014,19,100
Twin Peaks,2008,12,119
Twin Peaks,2009,12,91
Twin Peaks,2011,16,126
Twin Peaks,2010,20,91
Twin Peaks,2013,12,115
Twin Peaks,2012,15,116
